Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,sec,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_pred_err2,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:35,97,0,0.234,3.052,0,1.41334462,95,40,1,1,1757.483128,1487.635115,2116.692288,0,2704.387635,0,1757.483128,1
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:36,98,0,0.234,3.106,0,0,95,40,1,1,1757.483128,1487.635115,2116.692288,0,2704.387635,0,1757.483128,1
290,301.7,315,319.9,319.9,44,2022-03-04T03:22:37,99,0,0.234,3.106,0,0,95,40,1,1,1637.744821,1297.270027,2116.692288,0,2704.387635,0,1757.483128,1
290,301.7,314.9,319.9,320,44,2022-03-04T03:22:38,100,1476.58008,0.234,3.106,0.904857635,0,95,40,1,1,1637.744821,1297.270027,2116.692288,1,2704.387635,0,1757.483128,1
290,301.7,314.9,319.9,320,44,2022-03-04T03:22:39,101,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1637.744821,1297.270027,2116.692288,0,2704.387635,0,1757.483128,1
290,301.6,314.9,319.9,320,44,2022-03-04T03:22:40,102,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1637.744821,1297.270027,2116.692288,0,2704.387635,0,1757.483128,1
290,301.6,314.9,319.9,319.9,44,2022-03-04T03:22:41,103,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1637.744821,1297.270027,2116.692288,0,2704.387635,0,1757.483128,1
290,301.6,314.9,319.9,319.9,44,2022-03-04T03:22:42,104,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1651.738398,1270.170366,2130.649559,0,2717.433575,0,1771.518074,1
290,301.6,314.9,319.9,319.9,44,2022-03-04T03:22:43,105,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1651.738398,1270.170366,2130.649559,0,2717.433575,0,1771.518074,1
290,301.6,314.9,320,319.9,44,2022-03-04T03:22:44,106,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1651.738398,1270.170366,2130.649559,0,2717.433575,0,1771.518074,1
290,301.6,314.9,320,319.9,44,2022-03-04T03:22:45,107,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1636.163214,1285.261917,2109.354863,0,2695.663228,0,1754.312758,1
289.9,301.8,314.9,320,319.9,44,2022-03-04T03:22:46,108,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1607.693426,1260.614392,2079.019998,0,2662.816224,0,1726.403453,1
289.9,301.8,315,320,319.9,44,2022-03-04T03:22:47,109,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1595.71888,1246.396974,2067.19958,0,2651.039444,0,1714.451249,1
289.9,301.8,315,320,319.9,44,2022-03-04T03:22:48,110,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1604.66357,1185.807686,2080.991551,0,2665.938592,0,1724.8983,1
289.8,301.6,315,320,319.9,44,2022-03-04T03:22:49,111,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1609.89975,1311.470778,2088.169087,0,2673.896197,0,1730.1172,1
289.8,301.6,315,320,319.9,44,2022-03-04T03:22:50,112,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1624.967864,1339.808944,2103.419781,0,2688.90793,0,1745.164192,1
289.8,301.6,315,320,319.9,44,2022-03-04T03:22:51,113,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1618.988969,1355.114861,2097.736401,0,2683.297164,0,1739.199785,1
289.8,301.7,315,320,319.9,44,2022-03-04T03:22:52,114,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1618.988969,1355.114861,2097.736401,0,2683.297164,0,1739.199785,1
289.8,301.7,315,319.9,319.9,44,2022-03-04T03:22:53,115,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1618.988969,1355.114861,2097.736401,0,2683.297164,0,1739.199785,1
289.8,301.7,315,319.9,319.9,44,2022-03-04T03:22:54,116,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1615.292328,1359.910669,2094.288496,0,2680.610475,0,1735.510825,1
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:55,117,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1615.292328,1359.910669,2094.288496,0,2680.610475,0,1735.510825,1
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:56,118,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1597.279365,1294.752247,2075.78679,0,2662.672918,0,1717.523346,1
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:57,119,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1611.360218,1253.499786,2089.752439,0,2675.492466,0,1731.565624,1
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:58,120,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,1611.360218,1253.499786,2089.752439,0,2675.492466,0,1731.565624,1
