"Cylinder heating zone 1","Cylinder heating zone 2","Cylinder heating zone 3","Cylinder heating zone 4","Cylinder heating zone 5","Temperature of support housing",Timestamp,"Maximum injection pressure","Injection time","Dosage time","Material cushion","Switch-over volume","Mould temperature control unit 1","Oil temperature",RF_result,ANN_result,lstm_pred_err1,lstm_pred_err2,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c,Act_a_optimal,Act_b_optimal,Act_c_optimal,Best_optimal
289.8,300.9,314.9,319.9,319.9,56,2022-03-04T03:48:20,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,825.93387033692,-2.596436530351639,2208.944401579797,0,,0,,1,738.7010805419982,634.8702515096999,708.9222107182042,2208.944401579797
289.8,300.9,314.9,319.9,319.9,56,2022-03-04T03:48:21,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,825.93387033692,-2.596436530351639,2208.944401579797,0,,0,,1,780.3938566028443,641.8128888644111,734.3786425144949,2208.944401579797
289.8,300.8,314.9,319.9,319.9,56,2022-03-04T03:48:22,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,825.1289284911304,-9.944288447499275,2205.7330126436946,0,,0,,1,723.6800727106656,678.4007604177056,723.3135530047693,2205.7330126436946
289.8,300.8,314.9,319.9,319.9,56,2022-03-04T03:48:23,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,830.0928965452313,-23.81913037598133,2214.1037794563767,0,,0,,1,715.7122690533783,664.8253330537251,714.1719485374539,2214.1037794563767
289.8,300.8,314.9,319.9,319.9,56,2022-03-04T03:48:24,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,830.0928965452313,-23.81913037598133,2214.1037794563767,0,,0,,1,764.1652226755259,636.8379514134641,709.1869737886889,2214.1037794563767
289.9,300.8,314.9,320.0,319.9,56,2022-03-04T03:48:25,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,830.3999317196309,5.975304141640663,2212.6714141117927,0,,0,,1,778.6444220560587,669.9301768341201,722.2288797586498,2212.6714141117927
289.9,300.8,314.9,320.0,319.9,56,2022-03-04T03:48:26,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,830.3999317196309,5.975304141640663,2212.6714141117927,0,,0,,1,739.7779918795818,638.7702423459101,731.3432524044878,2212.6714141117927
290.0,300.8,314.9,320.0,319.9,56,2022-03-04T03:48:27,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,824.9629305088371,-4.139967821538448,2200.748534849405,0,,0,,1,765.3942628736231,669.7203307021706,713.8459198951715,2200.748534849405
290.0,300.8,315.0,320.0,320.0,56,2022-03-04T03:48:28,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,824.9629305088371,-4.139967821538448,2200.748534849405,0,,0,,1,722.2552469862137,679.736159098083,703.8563746081107,2200.748534849405
290.0,300.8,315.0,320.0,320.0,56,2022-03-04T03:48:29,1505.49,0.234,3.15,0.952422142,1.41334462,95,40,1,1,830.3999317196309,5.975304141640663,2212.6714141117927,0,,0,,1,757.6586106588437,677.9078637473837,729.4899143162085,2212.6714141117927
