Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c,sec
289.9,301.8,315,320,319.9,44,2022-03-04T03:22:48,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,120
289.8,301.6,315,320,319.9,44,2022-03-04T03:22:49,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,121
289.8,301.6,315,320,319.9,44,2022-03-04T03:22:50,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,122
289.8,301.6,315,320,319.9,44,2022-03-04T03:22:51,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,123
289.8,301.7,315,320,319.9,44,2022-03-04T03:22:52,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,124
289.8,301.7,315,319.9,319.9,44,2022-03-04T03:22:53,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,125
289.8,301.7,315,319.9,319.9,44,2022-03-04T03:22:54,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,126
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:55,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,127
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:56,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,128
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:57,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,129
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:58,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,130
289.8,301.7,314.9,319.9,320,44,2022-03-04T03:22:59,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,131
289.8,301.7,314.9,319.9,320,44,2022-03-04T03:23:00,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,132
289.9,301.6,314.9,319.9,320,44,2022-03-04T03:23:01,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3626.423723,3887.252693,0,3887.252693,0,3887.252693,1,133
289.9,301.6,314.9,319.9,320,44,2022-03-04T03:23:02,0,0.234,3.144,0,0,95,40,1,1,3319.009243,3886.416507,0,3886.416507,0,3886.416507,1,134
